k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,3_Last,100,61.68%,62.06%,58.78%,58.89%,59.36%,59.33%,60.02%,59.97%,59.64%
365,3,150,63.62%,61.87%,53.72%,58.49%,59.5%,63.47%,61.55%,61.53%,61.89%
365,3_Last,150,62.03%,61.54%,56.1%,58.21%,59.52%,60.77%,63.17%,62.28%,62.22%
365,3,200,62.74%,60.47%,51.56%,55.08%,59.51%,61.0%,63.88%,62.29%,65.0%
365,3_Last,200,61.54%,60.16%,52.93%,55.68%,55.5%,54.04%,58.23%,58.85%,57.33%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,4,0,65.07%,73.89%,71.16%,72.6%,71.62%,63.27%,68.77%,70.65%,71.01%
365,4_Last,0,72.19%,77.15%,71.95%,70.26%,72.45%,68.85%,69.45%,69.78%,70.17%
365,4,50,70.56%,76.7%,78.0%,77.03%,75.75%,70.7%,70.33%,68.54%,71.52%
365,4_Last,50,74.28%,79.77%,81.44%,75.03%,71.37%,70.67%,73.98%,71.24%,71.5%
365,4,100,73.55%,77.08%,81.81%,78.38%,77.4%,66.13%,72.21%,71.75%,71.83%
365,4_Last,100,76.17%,85.21%,74.61%,77.75%,74.52%,64.83%,70.31%,74.25%,73.67%
365,4,150,75.11%,78.36%,79.48%,81.0%,77.88%,69.23%,70.84%,70.15%,69.33%
365,4_Last,150,77.24%,86.29%,67.98%,67.27%,69.44%,72.04%,77.0%,77.4%,76.38%
365,4,200,78.05%,79.69%,75.81%,78.81%,77.62%,67.9%,75.86%,71.81%,73.5%
365,4_Last,200,78.74%,86.86%,55.17%,66.91%,65.09%,74.13%,71.69%,76.09%,75.53%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,5,0,64.99%,68.18%,72.05%,70.15%,73.88%,73.86%,83.02%,68.14%,79.37%
365,5_Last,0,58.37%,66.14%,64.2%,67.55%,65.42%,71.65%,81.57%,81.57%,78.71%
365,5,50,66.85%,68.18%,68.12%,70.35%,69.69%,65.92%,70.65%,70.06%,75.56%
365,5_Last,50,57.48%,66.55%,65.94%,64.27%,69.82%,73.4%,74.24%,77.36%,76.47%
